shiftb	a	b	k
1035.26	12306.6	13380.6	7685.7
1033.79	12825.65	13996.1	8018
1032.32	13544	14497.7	8004.1
1030.84	13746.6	14532.7	7912.5
1029.37	13556.75	13949.4	7995.3
1027.89	12554.45	12725.9	7318.8
1026.42	11760.4	11621	6915.3
1024.94	11066.6	10676.4	6254.5
1023.47	10454.35	10129.2	6259.7
1021.99	10212.85	9909.7	6414.1
1020.52	10090.6	9712.9	6417.6
1019.04	10246.1	9856	6699
1017.56	10341.7	10001.8	6797.5
1016.09	10523.65	10530.8	7043
1014.61	10912.55	11186.5	7657.7
1013.13	11647.15	11745.5	8182.4
1011.65	12471.75	12696.9	8937
1010.18	13238.4	13631.5	9425.6
1008.7	14087.2	15180.4	10303.3
1007.22	15707.4	18047.2	11503.6
1005.74	18997.5	22723.2	13721.4
1004.26	24153.7	28346.9	15987.3
1002.78	27833.8	31810.9	17404
1001.3	27046.8	30797.7	17473.4
999.825	22731.675	25899	14871.5
998.345	18048.775	20857.3	13144
996.865	14976.075	17102.7	11212.8
995.384	13281.18	15319.5	10526.82
993.903	12713.085	14387.9	9999.74
992.422	12682.49	13867.4	9753.16
990.941	12516.395	13589.6	9845.88
989.459	12482.505	13458.1	9408.72
987.978	12371.61	13119.6	9520.04
986.496	12337.22	12825.2	9025.78
985.013	12147.735	12460	8938.14
983.53	12104.35	12258.6	8471.2
982.048	12084.66	12078	8427.54
980.564	11955.98	11784.5	8225.52
979.081	11836.895	11605.2	7568.58
977.597	11811.615	11343.3	7636.46
976.113	11952.035	10986.1	7431.34
974.629	11697.155	11002.4	7433.52
973.144	11700.58	10838.5	7107.32
971.66	11892.5	10837.4	6941.1
970.175	11811.725	10602.3	7044.4
968.689	11610.955	10637.2	6644.42
967.204	11703.08	10711.8	6756.22
965.718	11855.11	10899.2	6822.54
964.232	11995.34	11129.7	6648.26
962.745	12077.175	11235.6	6847.5
961.258	12062.01	11612.8	6747.24
959.771	12068.245	11717.5	7059.08
958.284	11983.68	12019.9	6713.52
956.797	12151.715	12032.1	7035.26
955.309	12228.455	12110.9	7168.72
953.821	11979.795	11955.5	6888.88
952.333	12132.135	11871.9	6874.54
